TECNOLOGIA	Título
Tocilizumabe	Coronavirus Disease 2019 in Heart Transplant Recipients in Southeastern Michigan – Case Series
Ciclesonida	A Case of Coronavirus Disease 2019 Treated With Ciclesonide
Imunomoduladores	B-cell depleting therapies may affect susceptibility to acute respiratory illness among patients with Multiple Sclerosis during the early COVID-19 epidemic in Iran
Imunomoduladores	B-cell depleting therapies may affect susceptibility to acute respiratory illness among patients with Multiple Sclerosis during the early COVID-19 epidemic in Iran
Imunossupressores	B-cell depleting therapies may affect susceptibility to acute respiratory illness among patients with Multiple Sclerosis during the early COVID-19 epidemic in Iran
Imunossupressores	B-cell depleting therapies may affect susceptibility to acute respiratory illness among patients with Multiple Sclerosis during the early COVID-19 epidemic in Iran
Tocilizumabe	Off-Label Real World Experience Using Tocilizumab for Patients Hospitalized with COVID-19 Disease in a Regional Community Health System: A Case-Control Study
Hidroxicloroquina	First experience of SARS-CoV-2 infections in solid organ transplant recipients in the Swiss Transplant Cohort Study
Lopinavir	First experience of SARS-CoV-2 infections in solid organ transplant recipients in the Swiss Transplant Cohort Study
Ritonavir	First experience of SARS-CoV-2 infections in solid organ transplant recipients in the Swiss Transplant Cohort Study
Hidroxicloroquina	Clinical efficacy of hydroxychloroquine in patients with covid-19 pneumonia who require oxygen: observational comparative study using routine care data
Sarilumabe	Sarilumab use in severe SARS-CoV-2 pneumonia
Sistema complemento	Complement activation in patientswith COVID-19: A novel therapeutictarget
Hidroxicloroquina	Hydroxychloroquine in COVID-19: A systematic review and meta-analysis
Anticorpos	A noncompeting pair of human neutralizing antibodies block COVID-19 virus binding to its receptor ACE2
Vacinas	DRAFT landscape of COVID-19 candidate vaccines - 15 May 2020
Cloroquina	SARS-CoV-2 and the Use of Chloroquine as an Antiviral Treatment
Azitromicina	Hydroxychloroquine and azithromycin as potential treatments for COVID-19; clinical status impacts the outcome
Hidroxicloroquina	Hydroxychloroquine and azithromycin as potential treatments for COVID-19; clinical status impacts the outcome
Plasma convalescente	The role of passive immunization in the age of SARS‑CoV‑2: an update
Plasma convalescente	The role of passive immunization in the age of SARS‑CoV‑2: an update
Plasma convalescente	The role of passive immunization in the age of SARS‑CoV‑2: an update
Plasma convalescente	The role of passive immunization in the age of SARS‑CoV‑2: an update
Tocilizumabe	A fine balance: Immunosuppression and immunotherapy in a patient with multiple sclerosis and COVID-19
Hidroxicloroquina	Appearance of Skin Rash in Pediatric Patients with COVID-19: Three Case Presentations
Tocilizumabe	Use of subcutaneous tocilizumab in patients with COVID-19 pneumonia
Azitromicina	Assessment of QT Intervals in a Case Series of Patients With Coronavirus Disease 2019 (COVID-19) Infection Treated With Hydroxychloroquine Alone or in Combination With Azithromycin in an Intensive Care Unit
Hidroxicloroquina	Assessment of QT Intervals in a Case Series of Patients With Coronavirus Disease 2019 (COVID-19) Infection Treated With Hydroxychloroquine Alone or in Combination With Azithromycin in an Intensive Care Unit
Tocilizumabe	Improved survival outcome in SARs-CoV-2 (COVID-19) Acute Respiratory Distress Syndrome patients with Tocilizumab administration
Hidroxicloroquina	Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19
Amoxicilina	An evaluation of co-use of chloroquine or hydroxychloroquine plus azithromycin on cardiac outcomes: A pharmacoepidemiological study to inform use during the COVID19 pandemic
Azitromicina	An evaluation of co-use of chloroquine or hydroxychloroquine plus azithromycin on cardiac outcomes: A pharmacoepidemiological study to inform use during the COVID19 pandemic
Cloroquina	An evaluation of co-use of chloroquine or hydroxychloroquine plus azithromycin on cardiac outcomes: A pharmacoepidemiological study to inform use during the COVID19 pandemic
Imunoglobulina	An outbreak of severe Kawasaki-like disease at the Italian epicentre of the SARS-CoV-2 epidemic: an observational cohort study
Prednisona	An outbreak of severe Kawasaki-like disease at the Italian epicentre of the SARS-CoV-2 epidemic: an observational cohort study
Anlodipina	Nifedipine and Amlodipine are associated with improved mortality and decreased risk for intubation and mechanical ventilation in elderly patients hospitalized for COVID-19
Nifedipino	Nifedipine and Amlodipine are associated with improved mortality and decreased risk for intubation and mechanical ventilation in elderly patients hospitalized for COVID-19
Tocilizumabe	Pilot prospective open, single-arm multicentre study on off-label use of tocilizumab in patients with severe COVID-19
Plasma convalescente	Early Safety Indicators of COVID-19 Convalescent Plasma in 5,000 Patients
Corticosteroides	Clinical characteristics and drug therapies in patients with the common‑type coronavirus disease 2019 in Hunan, China
Fluoroquinolona	Clinical characteristics and drug therapies in patients with the common‑type coronavirus disease 2019 in Hunan, China
Interferon alfa	Clinical characteristics and drug therapies in patients with the common‑type coronavirus disease 2019 in Hunan, China
Lopinavir	Clinical characteristics and drug therapies in patients with the common‑type coronavirus disease 2019 in Hunan, China
Novaferon	Clinical characteristics and drug therapies in patients with the common‑type coronavirus disease 2019 in Hunan, China
Ritonavir	Clinical characteristics and drug therapies in patients with the common‑type coronavirus disease 2019 in Hunan, China
Remdesivir	Compassionate  remdesivir treatment of severe Covid-19 pneumonia in intensive care unit (ICU) and Non-ICU patients: Clinical outcome and differences in post-treatment hospitalisation status
Corticosteroides	Corticoides para infecção por SARS-CoV-2 (Covid-19) Revisão sistemática rápida
Azitromicina	Associação hidroxicloroquina/cloroquina e azitromicina para Covid-19.
Cloroquina	Associação hidroxicloroquina/cloroquina e azitromicina para Covid-19.
Hidroxicloroquina	Associação hidroxicloroquina/cloroquina e azitromicina para Covid-19.
Azitromicina	Should Clinicians Use Chloroquine or Hydroxychloroquine Alone or in Combination With Azithromycin for the Prophylaxis or Treatment of COVID-19?
Cloroquina	Should Clinicians Use Chloroquine or Hydroxychloroquine Alone or in Combination With Azithromycin for the Prophylaxis or Treatment of COVID-19?
Hidroxicloroquina	Should Clinicians Use Chloroquine or Hydroxychloroquine Alone or in Combination With Azithromycin for the Prophylaxis or Treatment of COVID-19?
Favipiravir	A review of the safety of favipiravir - a potential treatment in the COVID-19 pandemic?
Remdesivir	Remdesivir in COVID-19: A critical review of pharmacology, pre-clinical and clinical studies
Terapia celular	Combating COVID-19 with Mesenchymal Stem Cell therapy
Tocilizumabe	Uso de Tocilizumab para el tratamiento de pacientes con COVID-19. Reporte breve n° 01.
Oseltamivir	Uso de Oseltamivir para el tratamiento de pacientes con COVID-19. Reporte breve n° 01.
Atazanavir	Uso de atazanavir para el tratamiento de pacientes con diagnóstico de COVID-19. Reporte breve n° 02.
Ibuprofeno	Uso de AINES en pacientes con diagnóstico de COVID-19. Reporte breve n° 013.
Cloroquina	A systematic review on use of aminoquinolines for the therapeutic management of COVID-19: Efficacy, safety and clinical trials
Hidroxicloroquina	A systematic review on use of aminoquinolines for the therapeutic management of COVID-19: Efficacy, safety and clinical trials
Hidroxicloroquina	Acute generalized exanthematous pustulosis after COVID-19 treatment with hydroxychloroquine
Hidroxicloroquina	Conduction abnormalities in hydroxychloroquine add on therapy to lopinavir/ritonavir in COVID-19
Lopinavir	Conduction abnormalities in hydroxychloroquine add on therapy to lopinavir/ritonavir in COVID-19
Ritonavir	Conduction abnormalities in hydroxychloroquine add on therapy to lopinavir/ritonavir in COVID-19
Tocilizumabe	Tolicizumab in severe COVID-19 pneumonia and concomitant cytokine release syndrome
Terapia celular	Allogeneic cardiosphere‐derived cells (CAP‐1002) in critically ill COVID‐19 patients: compassionate‐use case series
Anakinra	Use of anakinra in severe COVID-19: a case report
Anakinra	Favorable anakinra responses in severe COVID-19 patients with secondary hemophagocytic lymphohistiocytosis
Anakinra	Favorable anakinra responses in severe COVID-19 patients with secondary hemophagocytic lymphohistiocytosis
Anakinra	Favorable anakinra responses in severe COVID-19 patients with secondary hemophagocytic lymphohistiocytosis
Inibidores do Sistema Renina-Angiotensina-Aldosterona (ISRAA)	Use of renin–angiotensin–aldosterone system inhibitors and risk of COVID-19 requiring admission to hospital: a case-population study
Interferon alfa	Interferon-α2b Treatment for COVID-19. 2020
Umifenovir	Interferon-α2b Treatment for COVID-19. 2020
Tocilizumabe	Impact of low dose tocilizumab on mortality rate in patients with COVID-19 related pneumonia
Tocilizumabe	Tocilizumab for Treatment of Severe COVID-19 Patients: Preliminary Results from SMAtteo COvid19 REgistry (SMACORE)
Hidroxicloroquina	Hydroxychloroquine in patients with mainly mild to moderate coronavirus disease 2019: open label, randomised controlled trial
Plasma convalescente	Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a rapid review
Plasma convalescente	Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a rapid review
Plasma convalescente	Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a rapid review
Plasma convalescente	Convalescent plasma or hyperimmune immunoglobulin for people with COVID-19: a rapid review
Hidroxicloroquina	Hydroxychloroquine in patients with COVID-19: A Systematic Review and meta-analysis
Azitromicina	Should azithromycin be used to treat COVID-19? A rapid review
Cloroquina	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Cloroquina	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Cloroquina	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Favipiravir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Favipiravir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Favipiravir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Hidroxicloroquina	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Hidroxicloroquina	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Hidroxicloroquina	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Lopinavir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Lopinavir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Lopinavir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Plasma convalescente	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Plasma convalescente	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Plasma convalescente	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Remdesivir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Remdesivir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Remdesivir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Ritonavir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Ritonavir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Ritonavir	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Tocilizumabe	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Tocilizumabe	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Tocilizumabe	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Vacina de DNA	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Vacina de DNA	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Vacina de DNA	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Vacina de RNA	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Vacina de RNA	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Vacina de RNA	SARS-CoV-2/COVID-19: Viral Genomics, Epidemiology, Vaccines, and Therapeutic Interventions
Antagonistas do Receptor da Angiotensina II	SARS-CoV-2 receptor ACE2 gene expression and RAAS inhibitors
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	SARS-CoV-2 receptor ACE2 gene expression and RAAS inhibitors
Vacina	SARS-CoV-2 Rates in BCG-Vaccinated and Unvaccinated Young Adults
Azitromicina	Drug vignettes: Azithromycin
Azitromicina	Potential use of hydroxychloroquine, ivermectin and azithromycin drugs in fighting COVID-19: trends, scope and relevance
Hidroxicloroquina	Potential use of hydroxychloroquine, ivermectin and azithromycin drugs in fighting COVID-19: trends, scope and relevance
Ivermectina	Potential use of hydroxychloroquine, ivermectin and azithromycin drugs in fighting COVID-19: trends, scope and relevance
Baricitinibe	Perspectives for repurposing drugs for the coronavirus disease 2019
Cloroquina	Perspectives for repurposing drugs for the coronavirus disease 2019
Cobicistato	Perspectives for repurposing drugs for the coronavirus disease 2019
Darunavir	Perspectives for repurposing drugs for the coronavirus disease 2019
Favipiravir	Perspectives for repurposing drugs for the coronavirus disease 2019
Interferon	Perspectives for repurposing drugs for the coronavirus disease 2019
Lopinavir	Perspectives for repurposing drugs for the coronavirus disease 2019
Oseltamivir	Perspectives for repurposing drugs for the coronavirus disease 2019
Remdesivir	Perspectives for repurposing drugs for the coronavirus disease 2019
Ribavirina	Perspectives for repurposing drugs for the coronavirus disease 2019
Ritonavir	Perspectives for repurposing drugs for the coronavirus disease 2019
Umifenovir	Perspectives for repurposing drugs for the coronavirus disease 2019
Cloroquina	A recommendation for the use of chloroquine, hydroxychloroquine, primaquine or tafenoquine for prophylaxis againts the 2019 novel coronavirus (COVD-19) with note to the ophthalmic considerations
Hidroxicloroquina	A recommendation for the use of chloroquine, hydroxychloroquine, primaquine or tafenoquine for prophylaxis againts the 2019 novel coronavirus (COVD-19) with note to the ophthalmic considerations
Primaquina	A recommendation for the use of chloroquine, hydroxychloroquine, primaquine or tafenoquine for prophylaxis againts the 2019 novel coronavirus (COVD-19) with note to the ophthalmic considerations
Tafenoquina	A recommendation for the use of chloroquine, hydroxychloroquine, primaquine or tafenoquine for prophylaxis againts the 2019 novel coronavirus (COVD-19) with note to the ophthalmic considerations
Antagonistas do Receptor da Angiotensina II	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Baricitinibe	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Cloroquina	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Darunavir	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Hidroxicloroquina	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Lopinavir	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Remdesivir	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Ritonavir	The Human Coronavirus Disease COVID-19: Its Origin, Characteristics, and Insights into Potential Drugs and Its Mechanisms
Anticoagulantes	Case 17-2020: A 68-Year-Old Man with Covid-19 and Acute Kidney Injury
Cloroquina	Case 17-2020: A 68-Year-Old Man with Covid-19 and Acute Kidney Injury
Favipiravir	Case 17-2020: A 68-Year-Old Man with Covid-19 and Acute Kidney Injury
Hidroxicloroquina	Case 17-2020: A 68-Year-Old Man with Covid-19 and Acute Kidney Injury
Remdesivir	Case 17-2020: A 68-Year-Old Man with Covid-19 and Acute Kidney Injury
Tocilizumabe	Case 17-2020: A 68-Year-Old Man with Covid-19 and Acute Kidney Injury
Oseltamivir	2019 Novel Coronavirus Pneumonia With Onset of Dizziness: a Case Report
Umifenovir	2019 Novel Coronavirus Pneumonia With Onset of Dizziness: a Case Report
Darunavir	COVID‐19 in people living with human immunodefciency virus: a case series of 33 patients
Emtricitabina	COVID‐19 in people living with human immunodefciency virus: a case series of 33 patients
Lamivudina	COVID‐19 in people living with human immunodefciency virus: a case series of 33 patients
Ritonavir	COVID‐19 in people living with human immunodefciency virus: a case series of 33 patients
Tenofovir	COVID‐19 in people living with human immunodefciency virus: a case series of 33 patients
Oxigenação por membrana extracorpórea (ECMO)	Successful COVID-19 rescue therapy by extra-corporeal membrane oxygenation (ECMO) for respiratory failure: a case report
Remdesivir	Successful COVID-19 rescue therapy by extra-corporeal membrane oxygenation (ECMO) for respiratory failure: a case report
Vacina BCG	COVID-19 vaccines: breaking record times to first-in-human trials
Antagonistas do Receptor da Angiotensina II	The effect of RAS blockers on the clinical characteristics of COVID-19 patients with hypertension
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	The effect of RAS blockers on the clinical characteristics of COVID-19 patients with hypertension
Corticosteroides	A global treatments for coronaviruses including COVID-19
Hidroxicloroquina	A global treatments for coronaviruses including COVID-19
Lopinavir	A global treatments for coronaviruses including COVID-19
Ribavirina	A global treatments for coronaviruses including COVID-19
Ritonavir	A global treatments for coronaviruses including COVID-19
Teicoplanina	A global treatments for coronaviruses including COVID-19
Umifenovir	A global treatments for coronaviruses including COVID-19
Inibidores do Sistema Renina-Angiotensina-Aldosterona (ISRAA)	Is the use of RAS inhibitors safe in the current era of COVID-19 pandemic?
Antagonistas do Receptor da Angiotensina II	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Antagonistas do Receptor da Angiotensina II	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Cloroquina	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Cloroquina	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Corticosteroides	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Corticosteroides	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Hidroxicloroquina	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Hidroxicloroquina	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Lopinavir	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Lopinavir	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Plasma convalescente	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Plasma convalescente	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Ritonavir	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Ritonavir	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Terapia celular	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Terapia celular	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Terapia com ervas	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Terapia com ervas	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Tocilizumabe	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Tocilizumabe	Pathophysiological characteristics and therapeutic approaches for pulmonary injury and cardiovascular complications of coronavirus disease 2019
Cefoperazona	A Case of Coronavirus Disease 2019 With Concomitant Acute Cerebral Infarction and Deep Vein Thrombosis
Prednisona	A Case of Coronavirus Disease 2019 With Concomitant Acute Cerebral Infarction and Deep Vein Thrombosis
Sulbactam	A Case of Coronavirus Disease 2019 With Concomitant Acute Cerebral Infarction and Deep Vein Thrombosis
Umifenovir	A Case of Coronavirus Disease 2019 With Concomitant Acute Cerebral Infarction and Deep Vein Thrombosis
Plasmaferese	Plasmapheresis treatment in COVID-19–related autoimmune meningoencephalitis: Case series
Azitromicina	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Hidroxicloroquina	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Lopinavir	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Meropenem	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Oseltamivir	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Ribavirina	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Ritonavir	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Vancomicina	A Hemodialysis Patient with Severe COVID-19 Pneumonia
Azitromicina	Characteristics and Outcomes of Children With Coronavirus Disease 2019 (COVID-19) Infection Admitted to US and Canadian Pediatric Intensive Care Units
Hidroxicloroquina	Characteristics and Outcomes of Children With Coronavirus Disease 2019 (COVID-19) Infection Admitted to US and Canadian Pediatric Intensive Care Units
Plasma convalescente	Characteristics and Outcomes of Children With Coronavirus Disease 2019 (COVID-19) Infection Admitted to US and Canadian Pediatric Intensive Care Units
Remdesivir	Characteristics and Outcomes of Children With Coronavirus Disease 2019 (COVID-19) Infection Admitted to US and Canadian Pediatric Intensive Care Units
Tocilizumabe	Characteristics and Outcomes of Children With Coronavirus Disease 2019 (COVID-19) Infection Admitted to US and Canadian Pediatric Intensive Care Units
Hidroxicloroquina	Clinical Features and Outcomes of 98 Patients Hospitalized with SARS-CoV-2 Infection in Daegu, South Korea: A Brief Descriptive Study
Lopinavir	Clinical Features and Outcomes of 98 Patients Hospitalized with SARS-CoV-2 Infection in Daegu, South Korea: A Brief Descriptive Study
Ritonavir	Clinical Features and Outcomes of 98 Patients Hospitalized with SARS-CoV-2 Infection in Daegu, South Korea: A Brief Descriptive Study
Antimaláricos	COVID-19 cases are less prevalent in countries where malaria is endemic, suggesting a role for anti-malarial drugs as prophylaxis
Antimaláricos	COVID-19 cases are less prevalent in countries where malaria is endemic, suggesting a role for anti-malarial drugs as prophylaxis
Anticoagulantes	Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study
Esteroides	Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study
Hidroxicloroquina	Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study
Plasma convalescente	Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study
Remdesivir	Clinical course of severe and critical COVID-19 in hospitalized pregnancies: a US cohort study
Antagonistas do Receptor da Angiotensina II	ACE-inhibitors and Angiotensin-2 Receptor Blockers are not associated with severe SARS-COVID19 infection in a multi-site UK acute Hospital Trust
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	ACE-inhibitors and Angiotensin-2 Receptor Blockers are not associated with severe SARS-COVID19 infection in a multi-site UK acute Hospital Trust
Hidroxicloroquina	Systematic Review and Meta-analysis of the Effectiveness and Safety of Hydroxychloroquine in COVID-19
Corticosteroides	Use of Corticosteroids in Coronavirus Disease 2019 Pneumonia: A Systematic Review of the Literature
Corticosteroides	Use of Corticosteroids in Coronavirus Disease 2019 Pneumonia: A Systematic Review of the Literature
Corticosteroides	Use of Corticosteroids in Coronavirus Disease 2019 Pneumonia: A Systematic Review of the Literature
Corticosteroides	Use of Corticosteroids in Coronavirus Disease 2019 Pneumonia: A Systematic Review of the Literature
Corticosteroides	Use of Corticosteroids in Coronavirus Disease 2019 Pneumonia: A Systematic Review of the Literature
Cloroquina	Systematic benefit-risk assessment for the use of chloroquine or hydroxychloroquine as a treatment for COVID-19: Establishing a framework for rapid decision-making
Hidroxicloroquina	Systematic benefit-risk assessment for the use of chloroquine or hydroxychloroquine as a treatment for COVID-19: Establishing a framework for rapid decision-making
Vacinas	Draft landscape of COVID 19 candidate vaccines - 11 May 2020
Antagonistas do Receptor da Angiotensina II	Covid‐19 and drug therapy, what we learned
Azitromicina	Covid‐19 and drug therapy, what we learned
Camostato	Covid‐19 and drug therapy, what we learned
Cloroquina	Covid‐19 and drug therapy, what we learned
Hidroxicloroquina	Covid‐19 and drug therapy, what we learned
Interferon alfa	Covid‐19 and drug therapy, what we learned
Ivermectina	Covid‐19 and drug therapy, what we learned
Lopinavir	Covid‐19 and drug therapy, what we learned
Remdesivir	Covid‐19 and drug therapy, what we learned
Ribavirina	Covid‐19 and drug therapy, what we learned
Ritonavir	Covid‐19 and drug therapy, what we learned
Tocilizumabe	Covid‐19 and drug therapy, what we learned
Umifenovir	Covid‐19 and drug therapy, what we learned
Azitromicina	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Cloroquina	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Cobicistato	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Corticosteroides	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Darunavir	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Hidroxicloroquina	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Lopinavir	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Plasma convalescente	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Remdesivir	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Ritonavir	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Tocilizumabe	COVID-19 and diabetes mellitus: An unholy interaction of two pandemics
Azitromicina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Azitromicina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Azitromicina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Cloroquina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Cloroquina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Cloroquina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Favipiravir	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Favipiravir	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Favipiravir	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
